Name,L3_codes,L4_codes,Established_only_species,Invasive_species,Native_species,Origin,Age_Ma,Maximum_elevation_ft,Human_population,Year_of_modern_colonization,GDP_2017_USD,GDP_per_capita,Distance_to_nearest_landmass_m,Distance_to_nearest_continent_m,Area_m2,Average_human_modification,Latitude_of_centroid,Max_temp_deg_C_BIO5,Min_temp_deg_C_BIO6,Temp_range_deg_C_BIO7,Total_precip_mm_BIO12,Precip_seasonality_BIO15
Easter Island,EAS,,2,29,86,Oceanic,0.77,1663,7750,1722,207265299,26744,2500684.515,3215112.216,189740361.6,0.182578519,-27.11768303,27.5,14.10000038,10.93234348,1190.246704,27.53043175
Rodrigues,ROD,,245,18,401,Oceanic,6.25,1306,41669,1528,844400000,20264,1938357.835,2449178.235,117093010.2,0.378549248,-19.71779542,29.70000076,17.5,10.58987713,1129.370972,47.09192657
Hawaii,HAW,"HAW-MI,HAW-JI,HAW-HI",1162,411,1897,Oceanic,5.1,13796,1465452,1778,84568750000,57708,1896497.661,3083408.717,16957433959,0.18031536,20.27478218,32.20000076,-4.199999809,12.62366772,1709.918701,45.33407211
St. Helena,STH,,207,80,162,Oceanic,34,2690,4439,1502,24507882,5521,1848375.156,1848375.156,133791828.9,0.27372086,-15.96202422,24.4,13.9,10.5,562.6,27.42307495
Ascension Island,ASC,,154,1,74,Oceanic,5.5,2818,806,1501,4449956,5521,1542706.73,1542706.73,99053317.05,0.229812771,-7.938079618,26.60000038,13.69999981,9.606089592,192.5674591,51.47725296
Chagos Archipelago,CGS,,105,31,112,Oceanic,0.0065,22,3000,1532,0,0,1506206.142,1597423.58,105154122.1,0.176704302,-7.080733392,31.39999962,23.60000038,7.539590359,2571.149658,27.95877838
Réunion,REU,,481,107,1621,Oceanic,3,10069,966129,1509,22550000000,23341,1343777.455,1662562.209,2658230034,0.534587443,-21.12159102,30.60000038,3.400000095,12.3853817,1584.757446,52.01938248
Azores,AZO,,464,27,1036,Oceanic,10,7713,236440,1433,4664406780,19728,1133811.64,1367051.829,2105427473,0.373668939,38.27930331,27.79999924,3,13.78733921,1201.869751,36.89408112
Pitcairn Islands,PIT,,19,26,238,Oceanic,0.7,1138,47,1767,193434,4116,1098165.25,4956999.34,53877976.09,0.23517701,-24.50910843,28.39999962,17.5,10.19141388,1400.199707,19.33908653
Bermuda,BER,,196,61,374,Oceanic,35,259,63913,1609,5127000000,80218,1036338.584,1036338.584,40366444.14,0.539360583,32.31349955,30.29999924,14.89999962,14.53142548,1505.408691,22.07380295
Mauritius,MAU,,564,74,1647,Oceanic,8,2717,1308222,1507,26547000000,20292,1014025.676,1737511.038,2066137908,0.451450944,-20.19187694,30.20000076,14.30000019,11.8656311,1705.523315,52.09677124
Galápagos Islands,GAL,,169,86,1039,Oceanic,3.2,5610,33042,1535,320022472,9685,926889.7964,926889.7964,7993818185,0.024650823,-0.562241397,32.09999847,10.10000038,13.34799194,318.0675354,82.67012787
Kermadec Islands,KER,,149,13,239,Oceanic,1,1693,6,1788,0,0,823921.2976,2682610.973,50228691.03,0.000715464,-29.28137533,27.70000076,15.30000019,10.00329304,1832.171631,19.42158508
Marquesas Islands,MRQ,,270,5,588,Oceanic,2.95,4040,9346,1595,184046329,19693,755573.6953,4747160.627,1093434356,0.15006724,-9.365043792,31.60000038,17.10000038,8.129416466,1685.75647,25.63350677
Nauru,NRU,,10,40,118,Oceanic,132,213,10058,1798,149474000,14861,685776.2945,2537212.554,29110925.19,0.472492129,-0.522073299,30.39999962,23.70000076,6.317028522,2021.011475,33.35062027
Mariana Islands,MRN,"MRN-GU,MRN-NM",737,98,868,Oceanic,30,3166,217863,1521,7035000000,32291,593412.7989,2234784.156,1199567539,0.500638008,14.88131297,31.79999924,17.70000076,7.617227077,2143.304688,53.02360916
Faroe Islands,FOR,,9,3,682,Oceanic,55,2890,54200,800,2001000000,36919,584465.1382,584465.1382,1593549277,0.235501125,62.04844877,13.39999962,-0.800000012,10.73114872,2781.167236,32.91623306
Norfolk Island,NFK,NFK-LH,211,74,652,Oceanic,2.7,1047,2188,1774,617140250,282057,571130.249,571130.249,63430761.62,0.238750324,-29.58635237,25.60000038,12.39999962,10.91596222,1354.881592,19.04091263
Jamaica,JAM,,6,56,4473,Oceanic,13,7402,2726667,1494,27136000000,9952,560139.0756,622819.9876,11098528634,0.538505971,18.15182429,34.5,7,11.38953114,1733.064697,45.56314087
